FirstName,LastName,BirthDate,Spec,FacultyNumber,Grade
"Stanislav","Petrov",2003-11-18,"Informatics",0MI0400087,4.25
"Peter","Petrov",2003-05-18,"Informatics",0MI0400115,4.25
"Viktor","Popov",2002-07-18,"Information Systems",0MI0700007,3.7
"Nikola","Petrov",2002-04-18,"Information Systems",0MI0700007,3.45
"Alexander","Petkov",2001-11-19,"Informatics",72456,5.4
"Stanimir","Petkov",2001-05-19,"Informatics",72456,5.15
"Boyan","Stoyanov",2000-04-18,"Information Systems",72415,6
"Albena","Stoeva",2000-04-17,"Information Systems",71933,3.75
"Andon","Ivanov",1999-11-12,"Information Systems",72563,4.1
"Vasil","Petrov",1999-11-10,"Information Systems",72563,4.1
"Mina","Yonova",1999-03-14,"Informatics",71253,5.55
